area_sqft,bedrooms,bathrooms,age_years,floor,total_floors,parking,city_tier,property_type,furnishing,price_inr
4475.0,2,2,6,6,15,3,tier1,apartment,unfurnished,25000000.0
1907.0,4,3,39,17,18,0,metro,apartment,semi,15046622.0
3994.0,5,4,14,18,25,0,tier1,studio,semi,20639111.0
2291.0,4,4,6,9,12,2,tier3,independent_house,semi,9531564.0
4140.0,3,4,28,10,21,3,metro,independent_house,unfurnished,25000000.0
1109.0,2,1,8,6,8,2,metro,independent_house,fully,15009445.0
1566.0,5,5,31,11,24,0,tier1,studio,unfurnished,5917400.0
3433.0,1,2,2,14,18,2,tier1,apartment,unfurnished,21455328.0
1302.0,1,1,21,15,19,1,tier2,villa,unfurnished,7027366.0
3776.0,2,1,16,20,30,3,tier2,villa,semi,23461473.0
2146.0,2,1,39,12,25,3,tier2,apartment,unfurnished,6472389.0
2055.0,3,4,21,7,9,3,tier2,apartment,fully,9778038.0
2258.0,5,4,37,1,3,1,tier1,apartment,fully,12226878.0
3671.0,4,3,10,14,26,1,tier2,independent_house,unfurnished,20397967.0
422.0,2,1,19,16,30,3,metro,independent_house,fully,4430255.0
3477.0,2,3,33,11,18,0,metro,independent_house,fully,25000000.0
3594.0,4,4,6,19,22,0,metro,apartment,unfurnished,25000000.0
3766.0,2,3,38,6,9,0,tier2,apartment,semi,12653884.0
4486.0,5,5,31,1,5,2,tier1,villa,fully,25000000.0
3607.0,3,2,27,13,23,0,metro,villa,fully,25000000.0
2567.0,3,2,9,2,4,2,tier1,studio,semi,14966406.0
2311.0,5,4,33,1,10,0,metro,independent_house,fully,23835722.0
1991.0,2,1,34,14,26,3,tier2,studio,semi,5140987.0
3791.0,3,3,11,9,12,1,tier1,independent_house,unfurnished,25000000.0
2010.0,3,2,24,12,26,0,tier1,studio,unfurnished,6512550.0
2747.0,2,1,2,15,29,2,tier1,villa,semi,25000000.0
793.0,1,1,16,8,13,1,tier2,apartment,unfurnished,3083053.0
1701.0,2,2,6,12,14,1,tier1,apartment,unfurnished,10453085.0
1491.0,1,2,22,11,16,2,metro,apartment,unfurnished,7622353.0
2183.0,4,4,22,12,16,3,metro,apartment,fully,19750474.0
2458.0,1,1,21,14,18,3,tier3,apartment,semi,5780274.0
3337.0,2,2,27,7,20,1,tier3,studio,unfurnished,6114955.0
2170.0,5,4,37,10,13,3,tier2,apartment,unfurnished,8353019.0
1016.0,3,3,8,12,17,0,tier1,studio,unfurnished,4586881.0
2634.0,4,4,8,2,14,3,tier3,independent_house,unfurnished,9775960.0
624.0,4,3,8,4,5,3,tier2,villa,semi,5508351.0
3881.0,2,3,38,1,2,2,tier2,independent_house,unfurnished,15757939.0
3559.0,4,4,3,4,9,2,tier1,apartment,fully,25000000.0
1323.0,2,3,1,9,23,2,tier1,villa,unfurnished,13672184.0
1479.0,4,3,6,19,30,0,metro,apartment,unfurnished,13105265.0
513.0,4,5,31,19,30,3,tier3,studio,fully,1041562.0
1894.0,5,5,23,16,29,2,tier1,apartment,unfurnished,12180696.0
556.0,5,5,37,11,13,3,metro,apartment,unfurnished,4140168.0
4239.0,1,1,8,4,10,0,tier1,independent_house,unfurnished,25000000.0
950.0,2,2,16,7,15,3,tier2,independent_house,semi,5559873.0
3103.0,3,2,22,16,19,1,metro,villa,unfurnished,25000000.0
2738.0,2,3,2,19,30,3,tier3,villa,fully,15714376.0
1371.0,4,3,37,20,29,3,tier2,apartment,semi,5668162.0
3713.0,5,4,32,8,20,3,tier2,independent_house,fully,23387886.0
846.0,2,2,5,10,14,3,tier1,apartment,semi,5814126.0
4035.0,5,5,34,10,21,0,tier2,apartment,fully,13307336.0
3435.0,5,5,18,1,3,1,tier2,apartment,semi,16114445.0
3003.0,5,5,13,2,3,1,tier2,apartment,semi,12254441.0
4006.0,1,1,38,0,9,2,metro,apartment,semi,25000000.0
2052.0,2,3,21,15,16,3,tier1,villa,semi,19162255.0
1554.0,1,1,9,4,8,2,metro,apartment,unfurnished,10868694.0
1033.0,1,1,33,14,26,2,tier1,apartment,semi,5191429.0
4189.0,1,1,29,7,14,3,tier1,villa,unfurnished,25000000.0
2045.0,3,4,7,16,22,0,metro,apartment,semi,17556175.0
3800.0,1,1,27,2,7,2,metro,independent_house,unfurnished,25000000.0
1762.0,2,1,25,6,16,2,tier2,studio,unfurnished,5545766.0
4315.0,5,5,11,4,18,0,metro,apartment,unfurnished,25000000.0
3967.0,5,5,17,9,20,2,tier3,studio,unfurnished,7971174.0
1662.0,5,4,34,11,17,3,tier2,apartment,unfurnished,6217557.0
2395.0,1,1,7,3,9,3,tier1,apartment,unfurnished,14822483.0
3655.0,4,3,29,14,16,3,tier2,independent_house,semi,22240398.0
1327.0,4,4,34,20,23,3,metro,independent_house,semi,15066834.0
497.0,1,2,38,0,4,1,tier3,independent_house,fully,1128435.0
1584.0,5,5,13,1,7,0,tier1,apartment,fully,10160607.0
2821.0,3,2,10,19,30,3,tier2,independent_house,unfurnished,16399151.0
959.0,5,5,38,13,26,1,metro,apartment,semi,6312511.0
1766.0,1,1,18,19,21,2,tier1,apartment,semi,7056484.0
4166.0,4,3,23,14,19,0,tier1,apartment,unfurnished,20686562.0
707.0,1,1,21,15,16,3,tier3,studio,semi,1387915.0
606.0,5,4,21,3,4,3,tier2,apartment,semi,2630720.0
2137.0,4,5,25,10,16,3,tier1,independent_house,semi,16152233.0
452.0,1,1,17,7,21,0,tier1,villa,unfurnished,3631086.0
514.0,2,1,16,17,20,3,tier1,independent_house,semi,4401895.0
1150.0,2,3,16,0,10,2,tier1,independent_house,unfurnished,8144729.0
819.0,1,1,26,0,6,0,tier1,independent_house,fully,6345820.0
3724.0,1,2,33,11,19,2,metro,apartment,fully,25000000.0
903.0,5,5,22,20,30,1,tier2,apartment,unfurnished,3298668.0
2546.0,5,4,27,20,30,2,tier3,villa,fully,10927962.0
3291.0,3,3,16,12,24,0,metro,apartment,fully,25000000.0
2965.0,5,5,31,9,15,2,tier2,apartment,semi,12861826.0
3080.0,4,4,16,5,6,2,metro,apartment,unfurnished,23787493.0
1866.0,1,2,17,20,30,2,tier2,apartment,fully,8256178.0
4044.0,4,5,2,3,17,3,tier1,apartment,semi,25000000.0
681.0,1,1,10,2,15,2,tier2,apartment,unfurnished,3087602.0
839.0,5,5,30,10,17,2,tier2,studio,semi,2612107.0
3910.0,2,2,3,8,12,0,tier2,apartment,semi,16203295.0
680.0,1,2,9,10,13,3,metro,studio,unfurnished,4380854.0
1186.0,2,2,31,18,24,1,tier3,studio,fully,2334990.0
1110.0,4,4,35,5,10,2,metro,apartment,unfurnished,7337091.0
535.0,5,5,17,18,22,2,metro,independent_house,semi,5994930.0
879.0,3,4,16,4,18,3,tier2,villa,semi,6501613.0
2748.0,1,1,20,6,16,1,tier1,independent_house,unfurnished,18685052.0
3110.0,5,5,31,0,4,1,tier2,apartment,semi,10369099.0
741.0,4,3,19,14,23,3,tier2,apartment,semi,3375736.0
4263.0,3,4,7,18,28,2,tier1,apartment,semi,25000000.0
792.0,3,2,17,18,26,1,tier3,villa,semi,3081093.0
3216.0,5,4,10,3,17,1,tier1,studio,fully,17071232.0
3681.0,2,1,28,16,30,3,tier1,independent_house,fully,25000000.0
2535.0,1,1,5,2,9,3,tier1,independent_house,unfurnished,22745823.0
2415.0,1,1,24,13,20,0,tier3,studio,unfurnished,4208537.0
847.0,4,4,5,14,18,1,metro,independent_house,semi,11157943.0
1390.0,5,5,39,3,14,3,metro,apartment,fully,11621247.0
3887.0,4,3,26,2,16,0,tier1,independent_house,fully,25000000.0
1829.0,4,4,5,1,11,0,tier3,apartment,unfurnished,4772501.0
541.0,2,3,39,14,17,0,tier3,apartment,fully,1102173.0
3389.0,3,3,23,12,20,2,tier2,villa,unfurnished,19269585.0
3202.0,1,2,24,2,14,1,tier3,studio,unfurnished,5941724.0
672.0,2,2,2,10,11,1,tier3,apartment,semi,2217858.0
609.0,4,3,7,16,25,0,tier1,villa,unfurnished,5429012.0
877.0,5,5,33,4,14,2,tier1,apartment,semi,4959434.0
608.0,5,5,19,12,20,3,tier2,apartment,semi,2717720.0
2926.0,5,4,25,6,15,0,tier2,apartment,fully,12300221.0
943.0,1,2,40,5,18,2,tier1,independent_house,fully,5849908.0
2888.0,5,4,17,8,10,3,metro,independent_house,unfurnished,25000000.0
1122.0,2,1,15,7,15,2,tier2,apartment,semi,4699628.0
4387.0,4,3,32,10,22,2,tier1,apartment,semi,24556522.0
3376.0,5,5,2,4,16,0,tier3,apartment,unfurnished,10430424.0
1935.0,5,5,18,8,15,3,metro,apartment,fully,17632752.0
2157.0,4,5,35,13,27,3,metro,villa,semi,25000000.0
666.0,2,2,9,8,13,2,tier2,independent_house,unfurnished,3995779.0
625.0,3,2,12,13,20,3,metro,villa,fully,10939634.0
2603.0,4,4,19,2,14,2,metro,apartment,semi,20528114.0
493.0,3,2,3,2,9,2,tier2,villa,unfurnished,3095852.0
3017.0,3,3,2,18,23,3,tier3,apartment,unfurnished,9362009.0
1967.0,3,2,10,9,17,0,metro,apartment,fully,19568260.0
972.0,3,4,36,12,21,0,tier1,studio,fully,3830306.0
2596.0,1,1,9,15,29,0,tier2,independent_house,unfurnished,13750766.0
2666.0,5,4,29,3,12,2,tier3,studio,unfurnished,4474411.0
3459.0,1,2,17,20,23,0,tier1,studio,unfurnished,12388245.0
1210.0,5,5,31,8,9,1,metro,villa,semi,12353172.0
2644.0,1,1,13,18,30,1,metro,studio,unfurnished,14509227.0
3863.0,3,3,35,8,14,2,metro,apartment,semi,22738409.0
1506.0,3,2,15,8,11,2,metro,apartment,unfurnished,13426080.0
3824.0,3,4,32,12,16,0,tier2,apartment,semi,14919006.0
3365.0,3,3,34,4,6,2,metro,apartment,semi,24493183.0
2161.0,5,5,17,12,15,1,tier1,apartment,semi,12200834.0
4021.0,1,2,27,20,30,0,tier2,apartment,unfurnished,13020771.0
4363.0,5,5,4,13,23,2,tier2,independent_house,semi,25000000.0
1371.0,4,4,20,1,10,1,metro,independent_house,semi,16058812.0
4417.0,4,3,15,14,15,1,tier2,villa,semi,25000000.0
409.0,1,1,39,0,10,3,tier2,apartment,unfurnished,1158967.0
929.0,1,1,38,2,16,0,tier2,independent_house,unfurnished,3256181.0
577.0,2,1,32,5,18,3,metro,apartment,semi,4184810.0
1907.0,2,3,38,6,12,1,metro,apartment,unfurnished,9630375.0
4241.0,4,5,40,0,9,3,tier3,apartment,semi,11721484.0
2861.0,5,5,31,0,5,3,tier1,apartment,unfurnished,15536784.0
2927.0,3,4,24,16,29,3,tier1,apartment,unfurnished,17194438.0
747.0,4,5,8,9,22,0,tier1,independent_house,semi,6342593.0
2516.0,1,1,33,4,8,3,tier2,independent_house,unfurnished,9577502.0
1968.0,4,4,7,9,16,1,tier3,independent_house,unfurnished,8580990.0
2365.0,1,2,7,14,18,3,tier1,apartment,fully,14751269.0
1470.0,4,4,36,15,24,3,tier3,independent_house,semi,5097931.0
1226.0,2,3,4,6,11,2,metro,independent_house,fully,16841346.0
4303.0,3,3,5,3,13,3,tier2,apartment,unfurnished,19558738.0
2689.0,2,1,20,20,30,2,tier2,villa,fully,17193219.0
2087.0,3,3,23,13,26,0,metro,villa,fully,25000000.0
702.0,5,5,1,20,23,3,metro,apartment,unfurnished,6490058.0
3526.0,5,5,15,6,8,2,tier1,apartment,semi,25000000.0
2337.0,2,1,9,2,14,0,tier3,villa,semi,10879072.0
1985.0,2,1,12,8,10,0,tier2,apartment,semi,8056088.0
3134.0,3,2,7,6,12,2,tier3,apartment,unfurnished,8617594.0
940.0,4,4,27,15,29,3,tier2,apartment,fully,4828127.0
2586.0,1,2,19,15,22,2,tier1,studio,semi,9769433.0
3938.0,4,4,39,1,2,1,tier2,apartment,fully,12579601.0
2302.0,5,5,0,12,26,1,metro,apartment,fully,25000000.0
401.0,5,5,31,7,17,1,metro,apartment,fully,3236989.0
1342.0,3,3,37,12,17,1,tier2,independent_house,semi,6664715.0
629.0,2,2,19,8,17,1,tier2,villa,semi,4157485.0
2450.0,2,1,28,11,20,0,metro,studio,fully,13688544.0
1893.0,4,5,18,15,23,2,tier1,apartment,semi,12463770.0
942.0,3,4,24,6,20,0,tier2,apartment,unfurnished,3413575.0
3216.0,1,2,37,4,16,0,tier3,villa,semi,12218422.0
1124.0,4,5,21,14,18,1,tier2,apartment,unfurnished,4395331.0
1800.0,1,1,23,19,30,3,tier1,independent_house,fully,13611777.0
4449.0,5,4,40,9,23,2,tier1,independent_house,semi,25000000.0
671.0,3,4,20,20,21,1,tier1,villa,semi,4946506.0
1415.0,2,2,7,3,8,2,tier2,studio,unfurnished,4410375.0
1703.0,1,2,27,17,26,2,tier3,villa,semi,7109173.0
2485.0,1,2,28,20,30,1,tier1,apartment,unfurnished,12058275.0
1404.0,5,4,9,6,17,3,metro,villa,semi,23250885.0
4377.0,3,3,29,3,12,2,metro,apartment,semi,25000000.0
422.0,5,5,2,13,18,0,tier2,independent_house,semi,3048394.0
4287.0,5,5,13,18,20,3,tier2,apartment,unfurnished,21580111.0
2592.0,1,1,35,1,14,0,metro,apartment,semi,16742526.0
556.0,2,1,25,13,21,0,metro,villa,semi,6239218.0
878.0,5,5,24,18,25,1,tier2,apartment,fully,3168314.0
822.0,3,2,25,0,14,1,metro,apartment,fully,7111443.0
1578.0,3,2,6,10,13,3,tier2,independent_house,fully,11430177.0
1765.0,3,2,39,1,5,2,tier1,apartment,unfurnished,8126839.0
3028.0,4,5,12,3,15,0,metro,villa,unfurnished,25000000.0
1675.0,5,4,32,10,14,1,tier3,apartment,fully,4904627.0
3372.0,5,5,40,6,20,3,metro,apartment,fully,25000000.0
1604.0,4,3,9,1,14,2,tier1,apartment,unfurnished,10165094.0
1480.0,3,3,26,16,18,2,metro,independent_house,semi,15575452.0
1528.0,2,1,1,4,11,2,metro,studio,semi,11228621.0
1749.0,1,1,26,18,29,2,metro,apartment,unfurnished,10693364.0
3834.0,4,4,18,3,10,0,metro,studio,fully,25000000.0
1412.0,1,2,2,10,14,2,metro,villa,fully,20479121.0
1520.0,4,3,27,15,16,2,metro,villa,fully,19649770.0
4323.0,3,3,39,10,11,0,tier2,independent_house,unfurnished,18566652.0
3080.0,4,5,3,8,11,2,tier2,independent_house,semi,19124471.0
1181.0,5,5,36,15,19,0,tier1,independent_house,fully,9341000.0
3959.0,3,4,34,0,5,0,tier1,villa,semi,25000000.0
1151.0,3,2,22,17,29,3,tier1,villa,semi,9673248.0
1064.0,3,4,36,14,22,1,tier3,apartment,semi,2690883.0
2224.0,2,1,12,16,18,1,tier3,apartment,unfurnished,5891320.0
3234.0,1,1,29,8,10,2,metro,independent_house,semi,25000000.0
1176.0,1,1,28,8,10,2,metro,apartment,fully,9640171.0
3488.0,4,3,23,12,17,2,metro,apartment,unfurnished,25000000.0
1042.0,5,5,34,13,24,3,metro,apartment,unfurnished,7774234.0
3605.0,1,2,35,19,20,2,tier2,apartment,semi,12503359.0
793.0,2,1,32,18,24,0,tier1,villa,semi,6314151.0
2304.0,4,3,24,1,8,0,metro,villa,unfurnished,25000000.0
3024.0,4,5,40,3,6,1,tier1,apartment,unfurnished,11949636.0
1488.0,4,4,22,19,20,1,tier1,apartment,semi,8962839.0
2909.0,4,3,26,8,12,1,metro,apartment,unfurnished,23568519.0
3223.0,1,2,7,12,15,0,tier2,apartment,semi,13790809.0
3065.0,2,3,13,1,13,0,metro,independent_house,semi,25000000.0
2027.0,3,3,37,2,15,0,tier3,villa,semi,7722157.0
3570.0,1,1,20,8,17,3,metro,villa,semi,25000000.0
3399.0,2,1,20,15,26,1,tier2,villa,semi,17619084.0
1738.0,2,2,33,16,27,3,tier3,studio,semi,3390493.0
3407.0,5,4,13,18,30,1,tier3,independent_house,semi,13070809.0
4165.0,2,2,10,4,6,1,tier2,villa,semi,25000000.0
3748.0,5,4,0,4,18,1,tier2,villa,semi,25000000.0
3406.0,4,3,9,11,18,3,tier2,apartment,semi,16338240.0
3542.0,4,3,20,11,19,2,tier2,studio,semi,11845195.0
3699.0,5,5,29,0,12,0,metro,apartment,semi,25000000.0
1585.0,5,5,13,9,16,1,tier1,apartment,unfurnished,10557778.0
3355.0,2,2,18,18,22,3,tier1,studio,semi,15541482.0
1217.0,3,4,9,3,4,0,tier3,independent_house,unfurnished,5403757.0
1869.0,3,3,33,17,20,3,tier1,apartment,fully,10856464.0
4231.0,5,4,21,9,11,3,tier1,apartment,semi,25000000.0
1560.0,1,2,5,11,17,0,tier2,apartment,unfurnished,5555347.0
3858.0,3,4,24,13,24,2,tier1,villa,semi,25000000.0
2132.0,2,2,13,14,19,2,metro,apartment,unfurnished,16475197.0
1260.0,2,1,35,13,22,3,tier1,studio,fully,5145619.0
797.0,4,5,10,2,5,3,tier1,studio,fully,4570611.0
2647.0,2,3,35,6,15,0,metro,villa,fully,25000000.0
2250.0,4,4,28,17,30,1,tier1,villa,semi,21137038.0
2496.0,5,4,5,0,5,3,tier1,apartment,fully,18372173.0
576.0,4,3,31,15,22,1,tier1,apartment,semi,3264396.0
1499.0,1,1,29,10,24,0,tier1,independent_house,fully,11126175.0
416.0,1,1,18,2,11,2,tier2,apartment,unfurnished,1465665.0
1640.0,3,2,6,2,8,0,tier1,apartment,fully,10335739.0
4219.0,3,3,19,20,22,0,tier3,apartment,semi,12497347.0
1024.0,4,3,24,0,14,3,tier3,apartment,unfurnished,2820410.0
3226.0,3,2,5,0,9,0,tier1,apartment,fully,22044104.0
423.0,1,2,13,0,1,3,tier1,independent_house,semi,3822046.0
2703.0,5,5,28,13,21,0,tier1,independent_house,fully,21907693.0
4175.0,5,4,22,19,30,0,tier2,villa,unfurnished,24202753.0
1798.0,4,5,40,3,17,2,tier2,independent_house,semi,7773838.0
1208.0,4,5,8,16,19,0,tier2,apartment,semi,5414457.0
2739.0,5,5,31,15,21,1,tier1,independent_house,unfurnished,20322266.0
1543.0,3,3,17,4,18,1,tier2,villa,fully,12123539.0
4055.0,1,1,9,1,12,2,tier1,apartment,semi,24998311.0
3880.0,4,3,38,10,18,1,tier2,studio,unfurnished,10235660.0
3074.0,3,3,25,1,6,0,metro,apartment,semi,22544913.0
3020.0,4,5,21,2,13,0,tier2,apartment,unfurnished,10535099.0
2870.0,4,4,12,9,18,0,tier3,apartment,fully,7966545.0
3414.0,3,3,36,17,25,0,metro,apartment,fully,23164700.0
2286.0,2,1,1,20,30,2,tier2,apartment,semi,9713034.0
4375.0,3,4,4,13,19,1,metro,villa,semi,25000000.0
1817.0,4,3,7,5,14,0,tier2,independent_house,semi,11578040.0
436.0,4,5,26,6,7,1,metro,apartment,unfurnished,3157142.0
3264.0,3,2,4,12,22,2,tier3,villa,fully,20184530.0
3115.0,3,2,32,3,11,1,metro,apartment,unfurnished,18468358.0
4422.0,5,4,8,10,23,1,tier3,independent_house,semi,18961825.0
2020.0,2,2,27,16,21,2,tier2,apartment,unfurnished,8108439.0
2141.0,1,2,32,17,30,2,tier2,apartment,semi,7227881.0
2704.0,4,4,36,1,10,2,tier2,villa,fully,20081629.0
2008.0,5,4,12,6,9,1,tier2,independent_house,unfurnished,12412169.0
3617.0,4,3,3,5,8,1,tier3,independent_house,unfurnished,16165292.0
2155.0,3,2,31,11,14,3,tier1,villa,unfurnished,19511393.0
3612.0,2,2,18,3,8,3,tier2,independent_house,unfurnished,18947555.0
2144.0,3,4,38,19,27,0,metro,apartment,semi,13375050.0
1322.0,1,2,7,19,30,3,tier2,apartment,fully,6214750.0
4461.0,3,4,23,6,20,3,metro,apartment,semi,25000000.0
2558.0,2,1,4,8,18,3,tier2,apartment,unfurnished,11179446.0
3297.0,2,2,19,9,16,1,tier2,apartment,semi,12946083.0
2824.0,3,2,0,0,9,2,tier1,villa,fully,25000000.0
1872.0,5,5,30,18,23,0,tier1,apartment,unfurnished,9959368.0
4385.0,2,2,24,16,20,0,tier2,villa,unfurnished,25000000.0
1923.0,5,5,3,6,14,2,tier2,villa,fully,14010566.0
4471.0,3,3,20,11,23,0,tier1,independent_house,unfurnished,25000000.0
2166.0,5,4,17,7,8,0,tier2,independent_house,fully,13060271.0
492.0,2,2,27,4,6,1,tier3,apartment,fully,1419796.0
550.0,5,5,20,6,9,1,metro,apartment,fully,5019453.0
4391.0,4,4,18,2,5,0,metro,villa,unfurnished,25000000.0
2564.0,4,3,34,17,20,3,metro,villa,unfurnished,25000000.0
1989.0,3,3,21,13,15,2,tier2,apartment,fully,7876487.0
3726.0,3,3,33,19,20,3,tier1,apartment,semi,17891388.0
2930.0,3,4,36,0,5,3,tier2,independent_house,unfurnished,15074419.0
3108.0,5,5,34,13,24,2,tier2,villa,semi,18635625.0
3210.0,4,3,39,11,14,1,tier1,apartment,unfurnished,14898967.0
1213.0,1,2,28,13,18,3,tier3,apartment,semi,2940120.0
761.0,4,3,23,20,30,2,tier2,independent_house,fully,4478528.0
3384.0,5,5,21,8,11,1,tier1,apartment,semi,19523273.0
489.0,4,4,8,2,16,1,tier1,independent_house,semi,4330134.0
3349.0,3,4,33,0,8,0,tier1,apartment,fully,17801761.0
932.0,2,3,28,10,21,3,metro,villa,semi,12632236.0
1476.0,4,4,35,3,8,3,metro,apartment,unfurnished,11146917.0
3301.0,4,4,28,2,7,2,tier3,apartment,semi,7890973.0
2953.0,2,3,19,3,9,0,tier1,studio,unfurnished,12189666.0
3604.0,3,3,12,5,7,3,tier1,villa,unfurnished,25000000.0
2904.0,2,2,40,2,7,0,tier2,studio,semi,6327615.0
596.0,1,1,30,10,23,0,tier2,apartment,unfurnished,1842749.0
3843.0,1,1,35,13,14,0,tier3,independent_house,unfurnished,10442687.0
1284.0,1,1,23,6,15,1,tier2,studio,semi,3518313.0
957.0,3,2,20,2,12,1,tier1,villa,unfurnished,8580885.0
4002.0,3,4,1,12,14,3,tier1,apartment,semi,25000000.0
1198.0,3,3,2,1,3,1,tier3,independent_house,unfurnished,5471229.0
2597.0,5,5,28,15,23,3,tier2,villa,semi,14851540.0
2392.0,2,1,9,8,12,1,tier3,studio,fully,5727384.0
3554.0,2,3,3,8,22,2,metro,apartment,unfurnished,25000000.0
580.0,2,2,31,5,8,2,tier3,apartment,fully,1551875.0
837.0,2,1,25,5,7,3,tier2,apartment,unfurnished,2866959.0
2103.0,3,2,4,3,8,3,metro,independent_house,unfurnished,25000000.0
2340.0,2,2,20,11,16,3,tier2,studio,unfurnished,6633316.0
3631.0,2,2,19,3,6,3,tier2,apartment,unfurnished,12649176.0
2883.0,4,3,0,14,24,0,metro,independent_house,unfurnished,25000000.0
1009.0,5,4,24,5,10,0,tier1,studio,fully,4746210.0
4413.0,2,1,16,11,19,1,tier2,apartment,fully,16556032.0
2285.0,1,1,36,11,15,0,tier1,apartment,fully,12397428.0
4354.0,2,3,4,13,15,1,tier1,independent_house,fully,25000000.0
4458.0,3,3,34,15,16,2,tier1,villa,semi,25000000.0
611.0,5,5,0,11,12,1,tier1,apartment,unfurnished,4785040.0
